Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
20/21,Round 38,28/04/21,Kayserispor,Denizlispor,6,3,7.08,6.43,4-2-3-1,4-3-3,D. Alemdar; Z. Kvržić; D. Kolovetsios; N. Paz; A. Behich; B. Sabović; K. Muhar; A. Lennon; D. Avramovski; P. Henrique; (c) İ. Parlak,A. Sunger; M. Özkal; F. Leismann; O. Yılmaz; S. Aytaç; H. Ayaroğlu; R. Murawski; M. Bakalorz; M. Dossevi; (c) H. Rodallega; Á. Sagal
20/21,Round 38,28/04/21,Rizespor,Beşiktaş,2,3,6.71,6.85,4-2-3-1,4-1-4-1,(c) G. Akkan; F. Baiano; S. Ay; M. Talbi; İ. Köybaşı; D. Djoković; Y. Pehlivan; K. Michalak; E. Sabo; B. Samudio; F. Boldrin,E. Destanoğlu; D. Toköz; Welinton; D. Vida; F. N'Sakala; Souza; R. Ghezzal; (c) A. Hutchinson; A. Ljajić; G. N'Koudou; G. Töre
20/21,Round 38,28/04/21,Galatasaray,Konyaspor,1,0,7.03,6.72,4-1-4-1,4-2-3-1,(c) F. Muslera; Ş. Özbayraklı; R. Donk; Marcão; Ö. Bayram; O. Etebo; E. Kılınç; G. Fernandes; H. Dervişoğlu; K. Aktürkoğlu; M. Mohamed,(c) I. Šehić; B. Yardımcı; A. Çalık; A. Demirbağ; G. H. Sityá; I. Diomandé; A. Hadžiahmetović; L. Shengelia; A. Rahmanović; J. Sekidika; A. Kravets
20/21,Round 38,29/04/21,Erzurumspor,Başakşehir,1,2,6.82,6.68,4-3-3,4-2-3-1,J. Szumski; M. M. Uçar; G. Kardeş; H. Hatipoğlu; L. Schwechlen; P. Boumal; G. Obertan; J. O. Omolo; E. Başsan; R. Gomes; (c) C. A. Alkılıç,V. Babacan; Ö. A. Şahiner; L. Duarte; A. Epureanu; B. Bolingoli; (c) M. Tekdemir; T. Ciğerci; E. Višća; B. Özcan; D. Aleksić; N. Chadli
20/21,Round 38,29/04/21,Sivasspor,Yeni Malatyaspor,1,0,7.15,6.77,4-1-4-1,4-4-2,A. Ş. Vural; A. Oğuz; C. Osmanpaşa; S. Camara; U. Çiftçi; Claudemir; E. Yeşilyurt; F. Fajr; (c) H. Arslan; M. Gradel; O. Kayode,E. Özbir; (c) I. Chebake; S. Kaya; T. L. Hadebe; K. Hafez; U. Bulut; Z. Yavru; A. Ildız; M. Fofana; B. Tetteh; K. Kanatsızkuş
20/21,Round 38,29/04/21,Alanyaspor,Fenerbahçe,0,0,7.06,6.78,4-1-4-1,4-1-4-1,Marafona; Juanfran; S. Caulker; G. Tzavellas; F. Moubandje; M. Siopis; (c) E. Karaca; S. Uçan; B. Kutlu; Davidson; M. Pektemek,H. Tekin; (c) G. Gönül; S. Aziz; A. Szalai; C. Erkin; J. Sosa; M. Özil; O. Tufan; M. H. Yandaş; D. Pelkas; Enner Valencia
20/21,Round 38,29/04/21,Ankaragücü,Gaziantep,0,1,6.89,6.82,4-2-3-1,3-5-2,(c) K. Çelikay; S. Kitsiou; A. Kulušić; Z. Šarlija; A. Turan; D. Łukasik; İ. Akdağ; E. Çekiçi; A. Potuk; T. Pinto; E. Ayyildiz,(c) G. Güvenç; P. Djilobodji; R. Miranda; A. Toșca; P. Olkowski; K. Mirallas; A. Vetrih; A. Maxim; G. Vural; M. Demir; N. Dicko
20/21,Round 37,23/04/21,Gençlerbirliği,Rizespor,2,1,6.88,6.73,4-2-3-1,4-2-3-1,U. Adiyaman; M. Johansson; M. Mert; D. Angelo; (c) H. I. Pehlivan; R. Piris; S. Dikmen; D. Candeias; S. Lima; G. Sio; B. Stancu,T. Çetin; M. Morozyuk; E. Dilaver; M. Talbi; D. Melnjak; D. Djoković; Y. Pehlivan; K. Michalak; E. Sabo; F. Andrade; (c) L. Rémy
20/21,Round 37,24/04/21,Konyaspor,Hatayspor,0,0,7.01,6.94,4-1-4-1,4-2-3-1,(c) I. Šehić; N. Skubic; A. Çalık; A. Bardakcı; G. H. Sityá; A. Hadžiahmetović; J. Sekidika; A. Rahmanović; M. Jevtović; Z. Bytyqi; S. Cikalleshi,M. Mohamedi; S. Popov; J. C. Billong; P. Santos; A. Katranis; I. Sackey; R. Ribeiro; D. Babajide; (c) R. Aabid; M. Kamara; A. Boupendza
20/21,Round 37,24/04/21,Antalyasporx2,Galatasaray,0,1,6.51,7.26,4-2-3-1,4-1-4-1,R. Boffin; M. Yilmaz; B. Öztürk; Naldo; F. Kudryashov; U. Akyol; B. Balcı; S. Gürler; Fredy; A. d. Silva; (c) L. Podolski,(c) F. Muslera; Ş. Özbayraklı; R. Donk; Marcão; Ö. Bayram; O. Etebo; E. Kılınç; G. Fernandes; E. Akbaba; K. Aktürkoğlu; H. Dervişoğlu
